Team,Elo Rating
Penn State,1568
Miami,1567
Minnesota Duluth,1563
Michigan,1559
Minnesota State,1546
Michigan State,1544
Colorado College,1541
Northeastern,1536
Union,1533
St. Cloud State,1528
Western Michigan,1528
Massachusetts,1527
Denver,1526
Wisconsin,1526
Michigan Tech,1522
Quinnipiac,1522
Maine,1518
North Dakota,1516
Army,1514
Providence,1514
Niagara,1508
Merrimack,1507
Ohio State,1507
Colgate,1506
RIT,1506
Bowling Green,1506
Canisius,1504
Bemidji State,1502
Augustana,1501
Vermont,1500
Sacred Heart,1500
Boston College,1498
Connecticut,1498
Mass. Lowell,1497
Omaha,1497
Bentley,1494
Notre Dame,1494
New Hampshire,1488
Holy Cross,1487
Robert Morris,1486
Boston University,1483
Long Island,1480
Clarkson,1480
Lindenwood,1478
Arizona State,1476
Lake Superior,1470
St. Thomas,1466
St. Lawrence,1460
Ferris State,1460
Alaska,1458
Alaska Anchorage,1455
Stonehill,1453
Air Force,1453
Minnesota,1447
RPI,1435
Mercyhurst,1418
Northern Michigan,1418
