Date,Conference,Away Team,Away Score,Home Team,Home Score,OT
"Friday, October 3, 2025",Non-Conference,Clarkson,1,Canisius,3,
"Friday, October 3, 2025",Non-Conference,Connecticut,2,Colorado College,4,
"Friday, October 3, 2025",Non-Conference,Bemidji State,9,Alaska Anchorage,2,
"Friday, October 3, 2025",Non-Conference,Mercyhurst,1,Michigan,11,
"Friday, October 3, 2025",Non-Conference,Michigan Tech,3,Minnesota,6,
"Friday, October 3, 2025",Non-Conference,Wisconsin,3,Lindenwood,0,
"Friday, October 3, 2025",Non-Conference,Penn State,6,Arizona State,3,
"Friday, October 3, 2025",Non-Conference,Quinnipiac,4,Boston College,3,
"Friday, October 3, 2025",Non-Conference,Ferris State,4,Miami,6,
"Friday, October 3, 2025",Non-Conference,Minnesota Duluth,5,Alaska,1,
"Friday, October 3, 2025",Hockey East,Merrimack,0,Mass. Lowell,4,
"Saturday, October 4, 2025",Non-Conference,Lake Superior,5,Stonehill,3,
"Saturday, October 4, 2025",Non-Conference,Bemidji State,5,Alaska Anchorage,0,
"Saturday, October 4, 2025",Non-Conference,Army,1,Union,1,ot
"Saturday, October 4, 2025",Non-Conference,Penn State,4,Arizona State,2,
"Saturday, October 4, 2025",Non-Conference,Connecticut,5,Colorado College,1,
"Saturday, October 4, 2025",Non-Conference,St. Lawrence,2,Niagara,5,
"Saturday, October 4, 2025",Non-Conference,Ferris State,1,Miami,3,
"Saturday, October 4, 2025",Non-Conference,St. Thomas,4,St. Cloud State,3,
"Saturday, October 4, 2025",Non-Conference,Long Island,2,Boston University,4,
"Saturday, October 4, 2025",Non-Conference,Mercyhurst,0,Michigan,7,
"Saturday, October 4, 2025",Non-Conference,Michigan Tech,5,Minnesota,3,
"Saturday, October 4, 2025",Non-Conference,Wisconsin,7,Lindenwood,2,
"Saturday, October 4, 2025",Non-Conference,Minnesota Duluth,4,Alaska,1,
"Saturday, October 4, 2025",Non-Conference,Northern Michigan,3,Massachusetts,5,
"Saturday, October 4, 2025",Non-Conference,Holy Cross,4,Northeastern,6,
"Sunday, October 5, 2025",Non-Conference,Lake Superior,3,Stonehill,2,
"Sunday, October 5, 2025",Non-Conference,Northern Michigan,1,Massachusetts,4,
"Sunday, October 5, 2025",Non-Conference,St. Lawrence,2,Canisius,4,
"Thursday, October 9, 2025",Non-Conference,Clarkson,6,Penn State,4,
"Thursday, October 9, 2025",Non-Conference,New Hampshire,4,Michigan State,3,
"Thursday, October 9, 2025",Non-Conference,Ferris State,3,Western Michigan,2,
"Thursday, October 9, 2025",Non-Conference,Boston College,3,Minnesota,1,
"Friday, October 10, 2025","Ice Breaker (at Mullett Arena, Tempe, Ariz.)",Alaska,2,Quinnipiac,1,
"Friday, October 10, 2025","Ice Breaker (at Mullett Arena, Tempe, Ariz.)",Notre Dame,3,Arizona State,5,
"Friday, October 10, 2025",Non-Conference,Boston College,2,Minnesota,2,ot
"Friday, October 10, 2025",Non-Conference,Bowling Green,0,Niagara,2,
"Friday, October 10, 2025",Non-Conference,Northern Michigan,2,Ohio State,5,
"Friday, October 10, 2025",Non-Conference,Colgate,2,Boston University,6,
"Friday, October 10, 2025",Non-Conference,Long Island,2,Canisius,3,ot
"Friday, October 10, 2025",Non-Conference,Bentley,2,Colorado College,5,
"Friday, October 10, 2025",Non-Conference,Western Michigan,6,Ferris State,4,
"Friday, October 10, 2025",Non-Conference,Lindenwood,5,Lake Superior,4,
"Friday, October 10, 2025",Non-Conference,Holy Cross,2,Maine,5,
"Friday, October 10, 2025",Non-Conference,Union,5,Mercyhurst,2,
"Friday, October 10, 2025",Non-Conference,Army,2,Northeastern,1,
"Friday, October 10, 2025",Non-Conference,Massachusetts,4,Stonehill,1,
"Friday, October 10, 2025",Non-Conference,Michigan,5,Providence,1,
"Friday, October 10, 2025",Non-Conference,Miami,5,RPI,3,
"Friday, October 10, 2025",Non-Conference,Clarkson,2,Penn State,5,
"Friday, October 10, 2025",Non-Conference,Denver,1,Air Force,1,ot
"Friday, October 10, 2025",Non-Conference,St. Lawrence,1,Vermont,2,
"Friday, October 10, 2025",Non-Conference,Augustana,1,Minnesota Duluth,4,
"Friday, October 10, 2025",Non-Conference,Minnesota State,2,Omaha,6,
"Friday, October 10, 2025",Non-Conference,St. Thomas,2,North Dakota,6,
"Friday, October 10, 2025",Non-Conference,St. Cloud State,3,Bemidji State,2,
"Friday, October 10, 2025",Non-Conference,New Hampshire,0,Michigan State,2,
"Friday, October 10, 2025",Hockey East,Mass. Lowell,1,Merrimack,4,
"Friday, October 10, 2025",Atlantic Hockey,Sacred Heart,1,RIT,0,
"Saturday, October 11, 2025","Ice Breaker (at Mullett Arena, Tempe, Ariz.)",Notre Dame,2,Quinnipiac,7,
"Saturday, October 11, 2025","Ice Breaker (at Mullett Arena, Tempe, Ariz.)",Alaska,2,Arizona State,5,
"Saturday, October 11, 2025",Non-Conference,Union,5,Mercyhurst,3,
"Saturday, October 11, 2025",Non-Conference,Bowling Green,2,Niagara,5,
"Saturday, October 11, 2025",Non-Conference,Northern Michigan,1,Ohio State,3,
"Saturday, October 11, 2025",Non-Conference,Colorado College,4,Air Force,2,
"Saturday, October 11, 2025",Non-Conference,Colgate,2,Boston University,2,ot
"Saturday, October 11, 2025",Non-Conference,Lindenwood,7,Lake Superior,4,
"Saturday, October 11, 2025",Non-Conference,Miami,5,RPI,0,
"Saturday, October 11, 2025",Non-Conference,Augustana,4,Minnesota Duluth,0,
"Saturday, October 11, 2025",Non-Conference,Minnesota State,4,Omaha,1,
"Saturday, October 11, 2025",Non-Conference,Bemidji State,2,St. Cloud State,4,
"Saturday, October 11, 2025",Non-Conference,Long Island,6,Canisius,1,
"Saturday, October 11, 2025",Non-Conference,Bentley,0,Denver,6,
"Saturday, October 11, 2025",Non-Conference,Holy Cross,0,Maine,6,
"Saturday, October 11, 2025",Non-Conference,Michigan,3,Providence,1,
"Saturday, October 11, 2025",Atlantic Hockey,Sacred Heart,6,RIT,1,
"Sunday, October 12, 2025",Non-Conference,Vermont,2,St. Lawrence,5,
"Sunday, October 12, 2025",Non-Conference,Stonehill,1,Army,6,
"Sunday, October 12, 2025",Non-Conference,North Dakota,5,St. Thomas,2,
"Tuesday, October 14, 2025",Atlantic Hockey,Canisius,3,Army,1,
"Thursday, October 16, 2025",Non-Conference,Robert Morris,2,Michigan,4,
"Thursday, October 16, 2025",Non-Conference,St. Lawrence,2,Notre Dame,8,
"Thursday, October 16, 2025",Non-Conference,Minnesota State,1,Wisconsin,1,ot
"Friday, October 17, 2025",Hockey East,Northeastern,4,Massachusetts,2,
"Friday, October 17, 2025",Non-Conference,Michigan State,4,Boston University,2,
